description,amount,date,category
VISA DEBIT MORNEAU SHEPELL CANADA BRA,-4809.84,2026-05-06,Medical and Health
PUR-SUBSTACK,-508.47,2026-04-12,Other / Uncategorized
SECURITY NATIONAL AUTO FINANCE CANADA#8124,-8142.11,2026-04-03,Vehicle Loans and Fines
FOURP_83,-2838.21,2025-12-01,Travel and Hotels
VISA DEBIT SKY JUMP OMAN WHI,-13.03,2026-03-12,Entertainment and Leisure
BANKDHOFARSALARYCARD*1521,33574.1,2025-02-28,Salary / Payroll
RECEIVED_FROM_Fahmy_Furniture,306.13,2026-01-30,Home Goods and Furniture
ONLINE PURCHASE AL BUSTAN PALACE,-2927.48,2026-03-17,Travel and Hotels
ATMCashWithdrwSalamMobileRecharge64601821:57:04,-25.19,2025-12-09,Telecom
leesa mattress canada payment,-292.03,2025-12-14,Home Goods and Furniture
TRF TO ALT HOTEL CALGARY,-3084.39,2026-02-10,Travel and Hotels
@omantelhomepackage,-172.81,2026-04-05,Telecom
MegabusCanadaTrnsfr,4270.51,2025-03-29,Travel and Hotels
WAL Cr5711932822761 BM,-94.07,2025-11-19,Insurance
POS 288611-OSN STREAMING - 746 P O BOX 370,-736.88,2026-04-04,Other / Uncategorized
ONLINEPURCHASECIBCEMPLOYEESALARY,22592.89,2026-02-28,Salary / Payroll
VISA DEBIT BAHLA MEDICAL CENTER QUE,-2943.42,2026-05-14,Medical and Health
POS STANDARD CHARTERED OMAN **8274,-443.82,2026-01-08,Bank Charges
RFC-payment,-298.94,2026-04-22,Dining and Cafes
txn AIR CANADA PAYROLL,14940.62,2026-05-28,Salary / Payroll
MOTUS BANK INC,-88.18,2026-01-06,Bank Charges
POSPURCHASEBANKNIZWAPERSONALFINANCEMar17,-7917.77,2026-05-21,Loan Payments
CARIBOU COFFEE *1132,-294.44,2025-11-20,Dining and Cafes
PAYMENT TO BE'AH OMAN FOR April 2021,-293.15,2026-03-24,Housing and Utilities
TurboTax Canada Trnsfr,537.42,2025-04-28,Other / Uncategorized
OMAN CANCER ASSOCIATION / MUSCAT,-5255.08,2026-02-20,Charity Donations
VISA DEBIT THE BAY HOME CANADA WHI,-70.03,2026-02-08,Home Goods and Furniture
POSCANADARECOVERYSICKNESSBENEFITCRSB**3396,973.38,2026-01-30,Government Support and Pensions
monsoon restaurant oman debit,-141.48,2025-12-04,Dining and Cafes
www.nationalbankatmfee.com,-187.44,2026-03-09,Bank Charges
CERIDIAN HCM TXNID:9290782,7036.24,2025-05-30,Salary / Payroll
PUR-REFRESHF,-13157.32,2026-02-06,Loan Payments
txn DESJARDINS INSURANCE CANADA,-264.02,2026-04-02,Insurance
ATMCashDEPSylvanLearningCanada594752,-10382.04,2026-04-03,Education
E-TRANSFERBPOMAN,-39332.01,2025-12-10,Fuel and Transport
OC TRANSPO OTTAWA SAOG,-11058.51,2026-04-07,Fuel and Transport
WASTE MANAGEMENT CANADA_48674,-197.65,2026-05-06,Housing and Utilities
E-TRANSFER MEXX CANADA,-322.57,2026-05-08,Shopping & Retail
Wise Transfer Canada Trnsfr,446.67,2026-11-28,Other / Uncategorized
MINISTRY OF FINANCE OMAN_34151,-281.25,2026-05-28,Government Services
txn ENTERPRISE RENT-A-CAR CANADA,-5209.47,2026-02-04,Fuel and Transport
OMAN ASSOCIATION FOR BLIND 0704,-4997.42,2026-01-04,Charity Donations
RECEIVED_FROM_Prep_Academy_Canada,9306.25,2026-02-28,Education
Wallet Trx 3326579507777 MONEYGRAM CANADA,-507.65,2026-02-01,Other / Uncategorized
POS918404-thw-canadarevenueagency,-666.31,2025-12-10,Government Services
www.cprsalarycanada.com,37118.48,2026-03-28,Salary / Payroll
INSTASHOP OMANPOSOAK BAY,-18.22,2026-01-03,Other / Uncategorized
AIG OMAN LTD,-122.67,2026-05-22,Insurance
@swatowrestauranttoronto,-231.14,2026-04-09,Dining and Cafes
SHOPIFY PAYOUT SERVICE CHARGE,6913.7,2026-02-28,Business or Freelance Income
EMPLOYMENT INSURANCE REGULAR EI:PAY,648.79,2026-12-28,Government Support and Pensions
FREEPEOPLECANADA2407,-332.61,2026-01-08,Shopping & Retail
JEBEL SIFAH PROPERTIES PAYMENT,-1704.24,2026-04-03,Rent Payments
TransferfromArticleFurnitureCanada,-216.91,2025-12-05,Home Goods and Furniture
txnCANADAPOST,-737.24,2026-05-06,Government Services
RECEIVED_FROM_Canada_Post_Payroll,23481.73,2025-04-28,Salary / Payroll
POS518715-PALETTELIVINGCANADA-111POBOX958,-116.63,2025-12-23,Home Goods and Furniture
txnRENODEPOTCANADA,-418.98,2026-04-20,Home Goods and Furniture
TRF CBC GEM CANADA,-70.16,2026-04-09,Entertainment and Leisure
POS 602370-ALTERNA BANK CANADA - 863 P O BOX 231,-331.1,2026-01-28,Bank Charges
BmoLineOfCreditCanadaStore#302,691.34,2026-04-30,Loan Payments
Wallet Trx 2512457864488 ONTARIO DISABILITY SUPPORT PROGRAM,231.97,2026-12-29,Government Support and Pensions
Wallet Trx 9470899992482 NBO FIXED DEPOSIT,-1691.35,2026-05-06,Savings and Investments
Payment:ALAJMIFAMILYRESTAURANT,-65.4,2026-05-02,Dining and Cafes
steinbachcredituniongicORLEANS ONTARIO,81.7,2026-01-29,Savings and Investments
BANK DHOFAR LOAN:PAY,-13156.82,2026-04-14,Loan Payments
Wallet Trx 5060952990060 DROPBOX CANADA,-191.04,2026-03-17,Other / Uncategorized
POSBIRDLIFECONSERVATIONOMAN**7255,-9618.5,2026-02-09,Charity Donations
oc transpo ottawa crd,-26991.52,2026-03-10,Fuel and Transport
ATMCashWithdrwEdmontonPublicLibrary22251416:50:07,-172.97,2026-03-10,Government Services
POS 889412-thw-iafinancialgroupcanada,-277.04,2026-02-03,Insurance
ROSETTA STONE CANADA CARD*1885,-782.1,2026-03-03,Other / Uncategorized
RECEIVED_FROM_Al_Iman_Market,30.56,2026-03-28,Groceries
WESTJET SALARY SAOG,18702.67,2026-04-29,Salary / Payroll
INTERAC FLOOR CENTRE OMAN NAPANEE,-30.37,2026-03-10,Home Goods and Furniture
COMMISSIONJUNCTIONCANADASERVICECHARGE,1916.17,2026-01-28,Business or Freelance Income
city of mississauga services debit,-368.44,2026-02-07,Government Services
CAPITAL POWER CANADA / MEDICINE HAT,-63.14,2026-04-26,Housing and Utilities
PAYFI_68,-690.13,2025-12-03,Other / Uncategorized
PACIFIC COASTAL AIRLINES PAYMENT,-27588.48,2025-11-03,Fuel and Transport
@indianschoolmuscat,-12512.04,2025-12-04,Education
WILLIAMS-SONOMA CANADAPOSCAMBRIDGE ONTARIO,-320.55,2026-04-15,Home Goods and Furniture
BUSINESS GRANT INCOME CANADA PAYMENT,5573.54,2026-02-28,Business or Freelance Income
www.agipoman.com,-44478.36,2026-05-04,Fuel and Transport
CURTAIN WORLD OMAN TXNID:2427394,-119.17,2026-03-05,Home Goods and Furniture
E-TRANSFER TDSB PAYROLL,23267.57,2026-03-28,Salary / Payroll
pho metro toronto payment,-48.12,2026-02-14,Dining and Cafes
POS 591615-thw-gisguaranteedincomesupplementcanada,621.93,2026-05-28,Government Support and Pensions
WAL Cr4063918084108 BM,-667.75,2026-01-02,Rent Payments
CAMBRIDGE LEARNING CENTRE OMAN LLC,-10763.66,2026-05-06,Education
POS 995625-thw-omancancersociety,-3622.33,2026-02-24,Charity Donations
txnPAYFIRMACANADA,-797.8,2026-04-27,Other / Uncategorized
GREENENERGYOMAN1209,-127.09,2025-11-08,Housing and Utilities
TD BANK CANADA 3112,-55.91,2026-03-13,Bank Charges
INTERNATIONAL TRANSFER FEE BANK MUSCAT_TRE,-361.61,2025-12-10,Bank Charges
TRF TO MARRIOTT EDMONTON,-3311.24,2025-11-02,Travel and Hotels
PAYMENT TO CITY OF TORONTO PAYROLL FOR June 2019,31652.15,2026-01-28,Salary / Payroll
UBER EATS CANADAPOSSCARBOROUGH,-311.54,2026-01-15,Other / Uncategorized
@wixcanada,-371.11,2026-05-10,Other / Uncategorized
CHICCO OMAN LLC,-105.39,2026-02-03,Shopping & Retail
torontopoliceticketSHERBROOKE,-8528.16,2025-12-23,Vehicle Loans and Fines
Transfer from Adobe Creative Cloud Canada,1.32,2025-05-28,Other / Uncategorized
SuttonPlaceHotelVancouverx3316,-4315.11,2026-03-23,Travel and Hotels
E-TRANSFERCANADAPENSIONPLANCPP,785.36,2026-03-28,Government Support and Pensions
INTERAC DIRECT ENERGY CANADA AL GHUBRAH NORTH,-153.33,2025-11-12,Housing and Utilities
ONLINE PURCHASE GOVERNMENT BUSINESS SUBSIDY CANADA,997.28,2025-04-30,Business or Freelance Income
E-TRANSFER HOLLAND BLOORVIEW KIDS REHAB,-4768.22,2026-05-03,Medical and Health
RAKUTEN ADVERTISING CANADA PAYMENT,2571.08,2025-04-29,Business or Freelance Income
TILE LAND OMAN#4600,-409.0,2026-04-07,Home Goods and Furniture
SALAL_25,-823.06,2025-12-05,Rent Payments
DR.MARTENSCANADAPAYMENT,-71.17,2025-12-07,Shopping & Retail
FUTURESHIELD INSURANCE SERVICE CHARGE,-589.77,2025-11-05,Insurance
PAYMENT TO SCOTIABANK ITRADE FOR January 2019,-231.1,2026-04-06,Savings and Investments
RECEIPTIDRIVEOMANKANATA,-7.89,2026-04-16,Entertainment and Leisure
Anghami Oman - payment,-798.99,2025-12-04,Other / Uncategorized
RECEIVED_FROM_St._Clair_College,3239.29,2025-03-28,Education
PUNJAB NATIONAL BANK OMAN#2571,-98.04,2026-04-22,Bank Charges
@pasisurvivorbenefit,199.69,2026-05-28,Government Support and Pensions
SALALAH HOME CENTRE:PAY,-415.36,2026-03-09,Home Goods and Furniture
WORKPLACE SAFETY INSURANCE ONTARIO / SHAWINIGAN,-148.56,2026-02-19,Government Services
TOYOTA FINANCE OMAN 1709,-11843.05,2026-02-08,Vehicle Loans and Fines
EI SICKNESS BENEFIT CANADA_46339,715.81,2025-01-28,Government Support and Pensions
@quickfuelstation,-9935.18,2026-01-21,Fuel and Transport
RECEIVED_FROM_Evolve_ETFs_Canada,534.47,2026-02-28,Savings and Investments
PAYMENT TO SOFITEL MONTREAL GOLDEN MILE FOR April 2025,-1847.53,2026-05-06,Travel and Hotels
WAL Cr1523659189737 BM,-155.53,2026-05-03,Travel and Hotels
Ministry of Manpower Oman x2503,-67.86,2026-01-06,Government Services
ATM Cash Withdrw Ann Taylor Canada 396361 23:32:39,-427.04,2026-04-12,Shopping & Retail
STEINBACH CREDIT UNION CARD*6233,422.85,2026-02-28,Bank Charges
POS553029-STARLIGHTINVESTMENTSCANADA-870POBOX960,-2131.33,2026-02-10,Rent Payments
MASTERCARD HUMBER RIVER HOSPITAL *2249,-3869.72,2026-03-10,Medical and Health
BUPAARABIAOMAN*3088,-938.18,2025-12-02,Insurance
CANADA RECOVERY CAREGIVING BENEFIT CRCB_JAL,652.49,2026-11-30,Government Support and Pensions
HERZING COLLEGE CANADA:REC,-1119.81,2026-01-26,Education
Hale Coffee Toronto Store #507,-206.34,2025-12-04,Dining and Cafes
@ywcacanada,-325.04,2026-01-02,Medical and Health
RAKUT_26,4235.58,2026-01-28,Business or Freelance Income
agisupermarketNEWGLASGOW,-45.95,2026-03-22,Groceries
Radisson Blu Muscat - payment,-317.99,2026-03-01,Travel and Hotels
RECEIPTGFLENVIRONMENTALCANADAHAWKESBURY,-264.0,2026-01-23,Housing and Utilities
E-TRANSFER HARVEY KALLES REAL ESTATE CANADA,-2370.11,2026-03-12,Rent Payments
hyundai finance oman crd,-14093.22,2025-11-19,Vehicle Loans and Fines
EGYPTIAN SCHOOL MUSCAT / SHAWINIGAN,-2060.45,2026-02-07,Education
the dorian calgary crd,-2421.81,2025-11-09,Travel and Hotels
ROGERS WIRELESS POSTPAID_39997,-85.67,2025-12-10,Telecom
www.nationaluniversitysciencetechnologyoman.com,-3258.91,2026-05-28,Education
Payment:ICLOUD CANADA,-400.41,2025-12-08,Other / Uncategorized
ANTHEM PROPERTIES CANADA PAYMENT,-2211.48,2026-03-12,Rent Payments
TRF TO BMO EMPLOYEE PAY,22050.38,2025-02-28,Salary / Payroll
E-TRANSFERMARCILCANADA,-474.59,2025-12-02,Home Goods and Furniture
WAL Cr4626892380519 BM,-159.07,2025-12-01,Bank Charges
cppdeathbenefitcanadaMONCTON,828.61,2025-01-29,Government Support and Pensions
RBC MONTHLY DIRECT DEPOSIT CARD*9699,29751.07,2026-02-28,Salary / Payroll
OXFORD LEARNING CANADA_46998,-1209.77,2026-04-07,Education
OTTAWAFOODBANK#6272,-5096.44,2026-04-10,Charity Donations
IBRIMEDICALCENTER#5871,-574.09,2026-01-28,Medical and Health
INTERACBADRALSAMAALETHBRIDGE,-2347.73,2026-03-08,Medical and Health
EGYPTIAN SCHOOL MUSCAT *1557,-7311.59,2026-04-20,Education
INTERAC SWAGBUCKS CANADA SPRUCE GROVE,-815.45,2025-12-06,Other / Uncategorized
UNITED WAY CANADAPOSAL KOUDH,-9950.56,2026-01-20,Charity Donations
TRFTOSIGNATUREVACATIONSCANADA,-3597.87,2025-12-01,Travel and Hotels
GREAT GULF HOMES CANADA SERVICE CHARGE,-1193.22,2025-12-10,Rent Payments
TDBankCanada-payment,-467.8,2025-11-27,Bank Charges
Wallet Trx 3245404370803 AL FALAH MARKET,-219.4,2025-12-08,Groceries
PUR-SHAREASA,5584.04,2026-02-28,Business or Freelance Income
txnRENNARECHARGE,-84.34,2026-03-03,Telecom
Transfer from Lakehead University,13503.67,2026-02-28,Education
INTERACWADISHABTOURSTRURO,-82.79,2025-12-10,Entertainment and Leisure
ESPRITCANADA2803,-5.24,2026-02-15,Shopping & Retail
AlizzIslamicVehicleFinancex3794,-1564.55,2026-03-03,Vehicle Loans and Fines
CANADIAN TIRE HOME CANADA / PRINCE RUPERT,-241.61,2026-03-02,Home Goods and Furniture
TRF TO VOGUE OPTICAL CANADA,-3931.87,2026-04-05,Medical and Health
ATM Cash Withdrw Ice Wireless Canada 656470 13:34:42,-106.79,2026-05-07,Telecom
ATMCashWithdrwAwinCanada39454317:50:32,1425.54,2025-12-29,Business or Freelance Income
TRF TO RENNA MOBILE,-180.51,2025-12-23,Telecom
RECEIPTONTARIOWORKSPAYMENTWADIADAI,170.48,2026-03-28,Government Support and Pensions
TEACHER PENSION OMANPOSGANDER,373.24,2026-02-28,Government Support and Pensions
PAYMENTTOSIMPLIIFINANCIALFORNovember2019,-96.36,2026-01-10,Bank Charges
MARRIOTT TORONTO *6229,-884.7,2026-05-07,Travel and Hotels
ALYOUSUFELECTRONICSSERVICECHARGE,-106.2,2025-12-16,Shopping & Retail
www.teladoccanada.com,-3963.12,2026-01-08,Medical and Health
oabsalarydepositSTEINBACH,10825.28,2026-12-28,Salary / Payroll
Transfer from London Drugs Home Canada,23.8,2026-03-28,Home Goods and Furniture
ATM Cash Withdrw Pan Pacific Vancouver 583650 12:40:14,-1032.31,2026-02-07,Travel and Hotels
E-TRANSFER DURHAM REGION WATER,-264.47,2025-12-17,Housing and Utilities
PORTAGE MUTUAL INSURANCE CARD*4572,-215.2,2026-03-12,Insurance
@daralatta'a,-1502.92,2026-04-08,Charity Donations
OMAN AUTOMOBILE SERVICES_CAM,-3146.06,2026-04-10,Fuel and Transport
Budweiser Stage Toronto - payment,-93.58,2026-03-26,Entertainment and Leisure
Payment:BRITBOX CANADA SUB,-18.4,2026-01-07,Other / Uncategorized
TRF TO HOME ZONE OMAN,-20.8,2026-01-09,Home Goods and Furniture
THE BAY HOME CANADA PAYMENT,-300.81,2026-01-10,Home Goods and Furniture
PAYMENTTONARSCANADAFORApril2020,-482.93,2026-01-23,Shopping & Retail
DiorBeautyCanadaStore#545,-30.47,2026-02-04,Shopping & Retail
OMANTELBROADBANDPAYMENT,-8.16,2026-01-07,Telecom
WAL Cr2484004994504 BM,-671.38,2026-03-09,Other / Uncategorized
PUR-MINISTRY,-890.48,2026-01-16,Government Services
ISLAMIC ENDOWMENTS AWQAF PAYMENT,-5210.12,2025-12-07,Charity Donations
ExhibitionPlaceTorontox8161,-87.59,2026-01-02,Entertainment and Leisure
BANK DHOFAR TXNID:4050530,-9.13,2026-03-05,Bank Charges
ATMCashWithdrwOntarioWorksOW32618622:37:22,647.87,2026-03-30,Government Support and Pensions
PAYMENTTORENODEPOTCANADAFORNovember2019,-238.18,2026-02-01,Home Goods and Furniture
RECEIVED_FROM_Red_Light_Camera_Fine_Ontario,11460.98,2025-12-29,Vehicle Loans and Fines
TransferfromEnbridgeGas,-71.09,2025-12-07,Housing and Utilities
OMAN GAS COMPANY 3105,-148.17,2026-04-02,Housing and Utilities
IQBAL FOODS SERVICE CHARGE,-177.61,2026-03-07,Groceries
MUSCA_56,-46.8,2026-05-20,Entertainment and Leisure
Rent Payment Vancouver - payment,-1667.75,2026-01-08,Rent Payments
AtcoElectricCanadaTrnsfr,209.44,2025-12-30,Housing and Utilities
INTERAC OMAN CHARITABLE ORGANIZATION BROCKVILLE,-5758.79,2026-02-07,Charity Donations
Payment:MINISTRY OF LABOUR ONTARIO,-787.71,2026-05-09,Government Services
POS 981423-MACKENZIE INVESTMENTS CANADA - 983 P O BOX 572,-1483.45,2026-02-04,Savings and Investments
@britboxcanadasub,-336.73,2026-02-17,Other / Uncategorized
POS 910374-KALDI COFFEE - 59 P O BOX 450,-265.08,2026-01-25,Dining and Cafes
ONLINEPURCHASEBOWRINGCANADA,-149.4,2026-01-09,Home Goods and Furniture
CITYOFOTTAWAPARKINGTICKET#9246,-2134.74,2026-05-19,Vehicle Loans and Fines
T&T SUPERMARKET / DARTMOUTH,-159.96,2026-05-18,Groceries
E-TRANSFERTHEDORIANCALGARY,-4590.58,2026-03-06,Travel and Hotels
ROUGE VALLEY HEALTH SYSTEM 2605,-2629.54,2026-05-10,Medical and Health
txn IRCC IMMIGRATION CANADA,-313.57,2026-05-08,Government Services
RECEIVED_FROM_NBO_Auto_Finance,2111.34,2026-03-29,Vehicle Loans and Fines
Transfer from Sultan Qaboos Cultural Centre,91.45,2026-01-28,Entertainment and Leisure
VOLKSWAGEN FINANCIAL CANADA SAOG,-1539.56,2026-01-01,Vehicle Loans and Fines
CPP SURVIVOR BENEFIT CANADA CARD*5466,496.24,2026-01-28,Government Support and Pensions
URBANDECAYCANADA/SELKIRKMANITOBA,-100.13,2026-05-08,Shopping & Retail
FOREIGN EXCHANGE FEE TD_94215,-205.59,2025-12-26,Bank Charges
MAXCAREPHYSIOTHERAPYLLC,-1935.58,2026-02-07,Medical and Health
Canada Workers Benefit CWB Trnsfr,561.97,2026-04-29,Government Support and Pensions
INTERACADVANCEDEYECARECENTERPENTICTON,-3958.22,2026-05-07,Medical and Health
MASTERCARDGOVERNMENTOFCANADASALARY*3940,12604.52,2025-12-30,Salary / Payroll
@climaterealityprojectcanada,-331.59,2026-03-01,Charity Donations
INTERACMARRIOTTCALGARYKANATA,-1877.51,2026-01-05,Travel and Hotels
Perkins Canada x4344,-170.2,2026-04-02,Dining and Cafes
GISGuaranteedIncomeSupplementCanadax7430,804.13,2026-04-28,Government Support and Pensions
Payment:UNIVERSITY OF SASKATCHEWAN,-8439.47,2025-12-01,Education
RECEIPT OMAN SAVINGS ACCOUNT ESQUIMALT,-1400.58,2026-05-24,Savings and Investments
VIDEO_79,-24.04,2026-05-20,Telecom
Payment:EIPARENTALBENEFITCANADA,743.31,2026-02-28,Government Support and Pensions
ULTRAMARCARD*2311,-44902.84,2026-02-16,Fuel and Transport
Green Mart Trnsfr,87.1,2025-03-30,Groceries
WAL Cr4371257148200 BM,-82.06,2026-03-08,Shopping & Retail
PAYMENTTOST.MICHAEL'SHOSPITALTORONTOFORJanuary2024,-1133.03,2026-04-03,Medical and Health
ALBERTA GOVERNMENT SALARY TXNID:5936382,9779.04,2025-04-30,Salary / Payroll
SquareOneInsuranceCanadax4442,-357.07,2025-11-02,Insurance
TRF TO TASLEEM TAXI,-37440.28,2025-12-24,Fuel and Transport
AMAZON.AEOMAN1110,-551.98,2026-01-01,Other / Uncategorized
TRFTDMONTHLYFEE,-307.87,2026-05-15,Bank Charges
VISA DEBIT ZARA CANADA DUQ,-386.23,2026-04-27,Shopping & Retail
ALKHOUDSPORTSCENTER1202,-63.09,2026-01-15,Entertainment and Leisure
WAL Cr8897806237108 BM,-9947.31,2026-02-21,Vehicle Loans and Fines
PAYMENTTOCODENINJASCANADAFORNovember2024,-13381.29,2026-04-06,Education
UKG Payroll Canada Trnsfr,2343.47,2025-02-28,Salary / Payroll
POS 690694-thw-uqammontreal,-8007.73,2026-02-01,Education
RECEIVED_FROM_Porter_Airlines_Canada,1999.11,2026-01-28,Travel and Hotels
PETROMIN EXPRESS_GEO,-15521.53,2026-01-02,Fuel and Transport
MASTERCARD WINDSOR TRANSIT *8989,-18610.31,2026-01-15,Fuel and Transport
ST. MICHAEL'S HOSPITAL TORONTO_DEL,-3980.94,2025-12-26,Medical and Health
GO BUS CANADA:PAY,-27395.47,2026-01-10,Fuel and Transport
EQUITABLE LIFE CANADA / MONTREAL,-948.88,2026-04-10,Insurance
ORANG_67,-2176.95,2026-03-27,Medical and Health
PUR-POLYGONH,-768.66,2025-12-15,Rent Payments
MASTERCARD YORK UNIVERSITY *8236,-10864.26,2026-01-06,Education
PUR-DIGITALP,4799.38,2026-01-28,Business or Freelance Income
ONLINE PURCHASE LIFEWORKS CANADA,-1770.61,2026-01-25,Medical and Health
Wallet Trx 6947253927881 OMAN MADINA INTERNATIONAL SCHOOL,-10452.44,2026-01-06,Education
BEIRUT RESTAURANT *4541,-60.08,2026-02-18,Dining and Cafes
TILEL_95,-79.65,2026-03-09,Home Goods and Furniture
PdoPetrolStationStore#501,-25284.74,2025-11-17,Fuel and Transport
SCOTIABANK ITRADE 1212,-1121.83,2026-04-22,Savings and Investments
RECEIVED_FROM_Teacher_Pension_Oman,369.27,2025-03-28,Government Support and Pensions
RECEIVED_FROM_National_Gas_Company_Oman,153.17,2026-01-30,Housing and Utilities
ALIZZ ISLAMIC VEHICLE FINANCE:REC,-13567.35,2025-12-05,Vehicle Loans and Fines
ONLINE PURCHASE PUMA OMAN,-472.82,2026-04-10,Shopping & Retail
CANADA EMERGENCY WAGE SUBSIDY CEWS CARD*1956,387.02,2026-12-28,Government Support and Pensions
INTERACKUMONCANADACHILLIWACK,-9621.85,2025-11-04,Education
Transfer from Mississauga Public Library,586.83,2026-04-30,Government Services
BUSINESS GRANT INCOME CANADA_JAL,2074.88,2026-12-29,Business or Freelance Income
txnGREENMART,-201.84,2026-03-02,Groceries
al wadi real estate oman payment,-2236.22,2026-03-10,Rent Payments
www.policyadvisorcanada.com,-99.37,2025-12-22,Insurance
txn PILOT COFFEE CO,-168.43,2026-01-10,Dining and Cafes
PAN EMIRATES FURNITURE LTD,-65.41,2026-02-04,Home Goods and Furniture
RAINB_86,-14600.98,2026-02-01,Education
ttc toronto transit crd,-7464.72,2026-01-03,Fuel and Transport
www.sirbrestaurant.com,-236.55,2026-03-07,Dining and Cafes
TRF TD PAYROLL DIRECT DEPOSIT,26212.98,2026-01-28,Salary / Payroll
ATMCashWithdrwOmanDiveCenterResort75503305:54:43,-1926.04,2026-02-07,Travel and Hotels
txn ZIPCAR OMAN,-19007.37,2026-03-10,Fuel and Transport
Al Raffd Fund Income Oman - payment,5931.03,2026-04-29,Business or Freelance Income
THEWA_76,-995.03,2026-02-01,Rent Payments
Oman Shell Salary Store #504,527.56,2026-11-30,Salary / Payroll
alzheimer society canada payment,-1353.8,2025-12-05,Charity Donations
CANAD_94,-159.37,2025-11-08,Bank Charges
POS ONE RESTAURANT TORONTO **9070,-292.23,2025-11-07,Dining and Cafes
TRF TO MCGILL UNIVERSITY,-2951.2,2026-04-08,Education
CHILDREN'SWISHFOUNDATIONCANADATXNID:4301373,-4754.28,2025-11-03,Charity Donations
HAFSAH PRIVATE SCHOOL:REC,-7468.99,2026-02-07,Education
POS PURCHASE GULF COLLEGE Dec 26,-13975.97,2026-05-06,Education
Sherbourne Properties Store #732,-1502.96,2026-02-05,Rent Payments
HOME TRUST PERSONAL LOAN:TRF,-17705.83,2026-03-24,Loan Payments
POS FIRST NATIONS BANK CANADA **7873,-77.54,2026-02-24,Bank Charges
ALRAW_93,-1237.51,2026-04-26,Rent Payments
ATM Cash Withdrw Ahli Bank Salary Credit 650457 08:51:12,35898.83,2026-02-28,Salary / Payroll
airbnbomantrsf,-4284.28,2026-04-28,Travel and Hotels
rbcmonthlydirectdepositOSHAWA,14478.8,2026-12-29,Salary / Payroll
GYMBOREE CANADA PAYMENT,-383.12,2026-02-13,Shopping & Retail
PUR-ALINJAZI,-9164.08,2026-01-26,Education
RECEIPT FREELANCER.COM PAYMENT BRANTFORD,2666.63,2026-04-28,Business or Freelance Income
SNAP FITNESS CANADA:PAY,-3811.71,2026-04-09,Medical and Health
NEXLIVINGCOMMUNITIESSERVICECHARGE,-1765.72,2025-12-10,Rent Payments
E-TRANSFEROMANTELMONTHLYBILL,-112.98,2025-11-04,Telecom
PEACE HILLS INSURANCE CANADA PAYMENT,-810.76,2026-02-09,Insurance
Alila Jabal Akhdar - payment,-1091.01,2026-04-08,Travel and Hotels
NBOHOMEFINANCEPAYMENT,-13365.84,2025-12-04,Loan Payments
CHATR WIRELESS CANADA / PRESCOTT ONTARIO,-79.33,2026-03-21,Telecom
INTERACMANITOBAHYDRORUSTAQ,-199.08,2026-04-20,Housing and Utilities
AlKhodhSupermarket-payment,-196.79,2026-04-03,Groceries
POS687936-MUSCATMUNICIPALPARKING-958POBOX56,-12.43,2026-02-23,Government Services
RECEIPT FREE PEOPLE CANADA IBRI,-470.88,2026-02-01,Shopping & Retail
CLEVELAND CLINIC CANADA 2712,-884.9,2026-02-20,Medical and Health
RECEIVED_FROM_Bell_5G_Canada,164.51,2025-12-29,Telecom
RECEIVED_FROM_Coursera_Canada,11519.71,2025-03-29,Education
Wallet Trx 7982027432915 BMO LOAN PAYMENT CANADA,-14092.11,2026-04-12,Loan Payments
NIZWA COOPERATIVE:PAY,-58.08,2026-01-27,Groceries
Enersource Trnsfr,171.9,2026-03-30,Housing and Utilities
BELL DEVICE PROTECTION *6671,-34.83,2026-02-08,Telecom
POS RSA INSURANCE OMAN **6951,-561.13,2026-01-06,Insurance
WAL Cr6364698224167 BM,4774.78,2026-01-29,Business or Freelance Income
POSPURCHASEALWATANIYARENTACARApr4,-7653.1,2026-02-04,Fuel and Transport
OMANDIVINGCENTER1206,-50.89,2026-02-13,Entertainment and Leisure
VISA DEBIT BENEVA INSURANCE CANADA SHI,-727.87,2026-03-05,Insurance
POS PURCHASE COURTYARD MARRIOTT TORONTO Dec 18,-2539.84,2026-03-01,Travel and Hotels
ONLINE PURCHASE OMANTEL POSTPAID,-196.9,2025-12-02,Telecom
POS CHILD PROTECTION AUTHORITY OMAN **2350,-8719.74,2025-12-13,Charity Donations
JIFFY LUBE OMAN PAYMENT,-31837.03,2026-02-10,Fuel and Transport
ALMAHAHYPERMARKETTXNID:6357738,-137.25,2025-11-24,Groceries
PARKINNMUSCAT*4335,-3751.59,2026-03-24,Travel and Hotels
ONLINE PURCHASE CREDENTIAL DIRECT CANADA,-1520.49,2026-02-10,Savings and Investments
TRF WINNIPEG FOLK FESTIVAL,-57.05,2026-02-21,Entertainment and Leisure
WINDSOR PLYWOOD CANADA *7888,-100.73,2026-04-03,Home Goods and Furniture
INTERAC LENDING LOOP CANADA WHITBY,-12807.91,2026-04-23,Loan Payments
BANK MUSCAT 1502,-425.06,2026-04-09,Bank Charges
VIRTUAL BROKERS CANADA_90732,-88.43,2026-01-10,Savings and Investments
E-TRANSFER SAFEWAY CANADA,-159.96,2026-01-02,Groceries
POS 777537-RENT PAYMENT HAMILTON - 4 P O BOX 4,-613.82,2026-03-11,Rent Payments
